followee;follower;id_followee;id_follower
Cooperativa;Lucas46613336;0;1685
Estereoscopio_;Lucas46613336;15171;1685
alexandresgm;Lucas46613336;33420;1685
Cooperativa;Walter06506495;0;2816
elmostrador;Walter06506495;3;2816
Cooperativa;FabianO89073630;0;1066
latercera;FabianO89073630;2;1066
Delvientonegrx;FabianO89073630;33184;1066
vir_giniaok;FabianO89073630;29092;1066
Lucas46613336;FabianO89073630;1685;1066
Cooperativa;Verdatagiando;0;1235
mauroxpp;Verdatagiando;1234;1235
prez_bernardo;Verdatagiando;1841;1235
Cooperativa;pantruquera;0;41796
latercera;pantruquera;2;41796
VanessaPC_25;pantruquera;13428;41796
Cooperativa;Alejand27703733;0;2953
pgibaceta;Alejand27703733;25629;2953
MaryyMesa;Alejand27703733;24301;2953
Cooperativa;Felipe39299429;0;1875
Cooperativa;Merca36320706;0;2020
Clau_LaraS;Merca36320706;13564;2020
Cooperativa;Melioda24738632;0;1057
elmostrador;Melioda24738632;3;1057
Cooperativa;AmandaRebolled6;0;2433
Cooperativa;AlmaBuguena;0;1134
memarchodeviaje;AlmaBuguena;28564;1134
Cooperativa;ZampedriMiDios;0;41810
chofernic;ZampedriMiDios;13497;41810
antonietaornel2;ZampedriMiDios;31319;41810
Cooperativa;KvAAvtKcixHEK95;0;491
Cooperativa;01101100Cat;0;571
Cooperativa;Andrea00921232;0;880
latercera;Andrea00921232;2;880
elmostrador;Andrea00921232;3;880
ikersar;Andrea00921232;17375;880
Cooperativa;maggyrubilar;0;2992
latercera;maggyrubilar;2;2992
elmostrador;maggyrubilar;3;2992
Cooperativa;Claudio37002755;0;1615
latercera;Claudio37002755;2;1615
elmostrador;Claudio37002755;3;1615
jelissa24661358;Claudio37002755;21767;1615
Cooperativa;Abigail19199878;0;1121
ChellePriscila;Abigail19199878;36207;1121
Cooperativa;vanessa17821958;0;1980
Cooperativa;PABLO67637912;0;885
Cooperativa;Nataly61572534;0;1407
AngeliniIsidora;Nataly61572534;28185;1407
Cooperativa;Paulett97497010;0;660
TAXISCHILENOS;Paulett97497010;35482;660
anitapetita;Paulett97497010;22363;660
mamut_saez;Paulett97497010;13245;660
Cooperativa;Orlndo20;0;2583
Cooperativa;jacquel44803423;0;2436
latercera;jacquel44803423;2;2436
elmostrador;jacquel44803423;3;2436
arielpangui;jacquel44803423;21654;2436
leiva_retamal;jacquel44803423;293;2436
Cooperativa;chile_comics;0;487
whynotsaint;chile_comics;22339;487
Cooperativa;alejand36143317;0;2449
latercera;alejand36143317;2;2449
Cooperativa;Coni14402669;0;1991
Cooperativa;frangorziglia;0;1859
Cooperativa;Andres24152509;0;1352
valle_cvallep;Andres24152509;20576;1352
50Viejo;Andres24152509;22789;1352
Cooperativa;Carol__1030;0;2824
alsoca85carcamo;Carol__1030;27067;2824
Cooperativa;luisa_hazel;0;1629
latercera;luisa_hazel;2;1629
Cooperativa;SEBASTI29273113;0;2513
latercera;SEBASTI29273113;2;2513
elmostrador;SEBASTI29273113;3;2513
jacquel44803423;SEBASTI29273113;2436;2513
Cooperativa;Faraendam;0;123
EsterMedinaAcu1;Faraendam;24005;123
josefinabenoit;Faraendam;27495;123
Cooperativa;Elosaalmendari1;0;1913
trinibrowne;Elosaalmendari1;6074;1913
Cooperativa;Clo_Tapia;0;734
Cooperativa;KimberlyQuija16;0;1463
latercera;KimberlyQuija16;2;1463
Cooperativa;FabinTori1;0;2011
Cooperativa;Yeye07292620;0;1602
elmostrador;Yeye07292620;3;1602
HMunAra;Yeye07292620;26011;1602
FlavioGol2;Yeye07292620;5004;1602
Cooperativa;Mara90103439;0;2499
elmostrador;Mara90103439;3;2499
Cooperativa;Ricardo80999606;0;2246
Bemfica19;Ricardo80999606;30498;2246
Cooperativa;Ossandon71;0;534
latercera;Ossandon71;2;534
elmostrador;Ossandon71;3;534
Cooperativa;Sebasti65991338;0;1504
Cooperativa;AmiyahNP;0;229
El22TiraElCarro;AmiyahNP;12169;229
Cooperativa;Patriciacarocag;0;2557
Cooperativa;ElizabethCaroc5;0;1035
Cooperativa;sreyesnovoa;0;2732
Cooperativa;makanaki1995;0;2713
latercera;makanaki1995;2;2713
elmostrador;makanaki1995;3;2713
Acuipesca1;makanaki1995;9177;2713
Cooperativa;Patrici87966788;0;2549
AlvarezPesca;Patrici87966788;16763;2549
Cooperativa;millaraysanch17;0;460
Cooperativa;CidAdamaris;0;1923
elfisho;CidAdamaris;9801;1923
Cooperativa;Brian92682418;0;649
CBadulaque;Brian92682418;24303;649
Cooperativa;AvilaArqueros;0;1454
Cooperativa;Timba06577617;0;2535
elmostrador;Timba06577617;3;2535
osakaumedagal;Timba06577617;37205;2535
Cooperativa;LebuFelipe;0;1985
CamiFreedom;LebuFelipe;2890;1985
RevistaelFrente;LebuFelipe;8009;1985
AnadeColores;LebuFelipe;26307;1985
Clau15656394;LebuFelipe;580;1985
Cooperativa;AntoFica1;0;1435
latercera;AntoFica1;2;1435
