user_id;user_name;number_tweets;friends_count;followers_count;created_at
7668952;Cooperativa;1216687;669836;3032942;"Mon Jul 23 22:31:14 +0000 2007"
239534277;soyvaldiviacl;248530;4486;16658;"Mon Jan 17 21:09:03 +0000 2011"
3222731;latercera;993420;220544;1985664;"Mon Apr 02 15:22:14 +0000 2007"
12815132;elmostrador;263011;179;1811157;"Tue Jan 29 04:20:54 +0000 2008"
1396231656923701256;JorgeIg35374759;1;36;0;"Sat May 22 22:29:34 +0000 2021"
1330680795799953408;me_ojedacatalan;54;28;2;"Mon Nov 23 01:13:45 +0000 2020"
1398251077552807940;Vaneza71436778;0;15;0;"Fri May 28 12:13:43 +0000 2021"
64737163;pochirry;4;13;4;"Tue Aug 11 15:07:54 +0000 2009"
1397728971828207619;karenishkavill1;0;39;0;"Thu May 27 01:39:02 +0000 2021"
1398114064740519936;ssanderssonnss;0;8;1;"Fri May 28 03:09:17 +0000 2021"
1397736310824112130;CarocaDarinka;0;56;2;"Thu May 27 02:08:09 +0000 2021"
768442034;Maclgos;51;302;7;"Sun Aug 19 23:40:59 +0000 2012"
1397753447055831042;EstellalunaJ;0;92;2;"Thu May 27 03:16:14 +0000 2021"
1074357385492398080;Cristob74116819;1;49;0;"Sun Dec 16 17:35:36 +0000 2018"
1267528789459959817;Kaguyasamadesu;15;84;2;"Mon Jun 01 18:50:16 +0000 2020"
1398057355502362624;JaimeFi57576687;12;37;1;"Thu May 27 23:24:21 +0000 2021"
4768025662;Pabla2255102021;10086;6013;5528;"Sun Jan 10 21:32:29 +0000 2016"
1398257725566488576;aROMBriatqlIubW;0;35;1;"Fri May 28 12:40:31 +0000 2021"
1397789835541331969;RLopezgg;0;33;0;"Thu May 27 05:40:52 +0000 2021"
1398077785986449408;KarinaR44612458;0;105;0;"Fri May 28 00:47:09 +0000 2021"
1377239052961910788;MaraVil11903454;26;73;2;"Wed Mar 31 12:40:22 +0000 2021"
1396821069525307393;giovanni_veg;2;40;0;"Mon May 24 13:31:29 +0000 2021"
1396235833754202112;abogadosSalAlar;1;26;1;"Sat May 22 22:45:43 +0000 2021"
